Precio,Superficie,Habitaciones,Altura,Exterior,Distanciasol
1950,153,4,2,1,3.6
1250,60,1,6,1,2.3
950,34,1,4,1,2.7
2350,126,3,5,1,2.3
630,26,1,6,1,1.9
1100,70,2,3,1,2.7
2300,162,3,6,1,2.4
1350,80,2,6,1,3.5
1200,33,2,2,0,2.1
690,35,0,0,1,3.6
600,30,1,1,0,2.5
625,28,0,3,0,3.5
2700,180,3,3,1,2.0
1300,77,2,5,0,2.0
1250,45,1,6,1,2.8
800,35,1,6,0,1.9
3500,233,3,1,1,2.4
1450,95,2,4,1,2.6
1300,65,2,5,1,2.3
1200,50,2,3,0,2.4
1250,125,1,0,1,2.7
1500,65,2,4,1,3.7
1300,55,1,3,1,2.3
1250,42,2,2,1,3.3
1000,50,1,4,1,2.7
1300,40,1,2,1,1.4
1350,100,2,3,1,2.4
700,45,0,5,1,2.1
650,25,2,2,0,2.1
1100,51,1,4,1,2.7
1050,67,1,2,1,4.4
1250,75,2,5,0,2.9
1300,80,1,4,1,1.6
550,22,0,4,0,2.0
1300,70,2,6,0,2.5
1200,59,2,4,1,3.1
1200,50,1,3,1,1.9
750,45,1,1,1,4.1
1100,48,1,4,0,2.0
1300,75,2,4,1,1.6
1000,,1,4,1,2.7
1100,50,1,5,0,2.7
1300,45,1,4,1,3.0
1200,85,3,5,1,2.7
1300,80,2,2,0,2.5
1600,62,2,4,1,3.4
1000,75,0,0,1,3.4
1200,75,2,6,0,5.1
1200,65,2,6,1,5.3
1100,70,2,3,1,2.3
1200,40,1,6,0,2.4
1300,60,1,4,0,3.5
1000,60,1,0,0,2.4
1800,91,2,6,1,3.3
1325,75,2,3,0,2.5
1000,50,1,4,0,2.8
1100,76,3,1,1,3.5
1200,75,1,4,1,3.0
1200,65,2,1,0,3.9
750,34,1,1,1,2.3
750,35,1,1,1,2.4
1200,50,2,0,0,2.5
1250,76,2,5,1,2.7
1250,62,1,4,1,3.4
1000,70,2,0,0,2.5
1200,63,1,4,1,2.4
1000,,2,0,0,2.5
3100,129,3,5,1,2.5
600,25,0,5,0,2.2
725,40,2,4,0,2.2
1040,60,1,3,1,2.3
1300,95,2,0,0,2.4
1200,40,1,2,0,2.5
1300,105,2,1,1,2.3
1000,70,1,0,0,3.5
1700,170,3,4,1,2.4
1200,90,2,3,1,2.8
1100,65,1,1,1,1.8
950,44,2,0,0,2.5
1000,50,2,0,1,1.9
1100,70,2,5,0,3.8
1000,42,1,2,1,3.2
1000,43,2,1,0,3.2
1325,75,2,3,0,3.4
1200,63,1,5,1,4.6
1300,46,1,1,0,1.6
1200,67,2,3,1,4.1
780,31,1,0,0,2.4
1000,,1,4,1,2.5
1250,55,1,1,0,4.0
1350,75,3,4,0,1.9
850,50,1,3,0,1.9
960,45,1,2,0,3.6
1250,81,2,5,1,3.7
1250,76,2,5,1,3.2
850,29,1,6,0,1.9
850,37,1,4,1,2.3
2400,146,3,3,1,1.9
1300,67,2,4,1,1.6
1400,104,3,2,1,2.2
2400,120,4,5,1,2.0
750,30,2,2,1,2.7
1200,60,1,2,0,2.4
1300,79,2,4,1,3.6
530,25,0,-1,0,3.0
750,47,1,-1,0,2.6
1000,,2,1,0,3.4
750,35,1,0,0,2.6
975,50,2,3,0,3.3
980,40,1,3,0,2.4
2400,75,2,2,1,2.4
1000,,1,1,0,2.4
1450,65,2,6,1,4.0
1250,80,2,6,1,2.5
1000,60,1,0,0,2.0
1000,40,1,3,0,1.9
1000,45,2,4,0,2.8
1100,55,1,5,0,2.5
1450,80,2,4,1,2.2
825,40,1,3,0,1.8
1000,65,2,0,0,2.4
1900,125,3,6,1,3.4
1200,60,2,0,1,3.2
750,34,1,1,1,2.5
1200,73,2,0,0,1.8
990,66,1,2,1,2.7
2000,90,2,1,1,3.2
850,45,1,4,0,1.9
1030,60,2,0,0,3.0
1500,86,2,4,1,3.8
1300,95,2,0,0,2.3
1300,68,1,2,1,3.4
1200,70,1,2,0,3.5
2500,150,4,3,1,2.3
1800,105,3,6,1,3.7
1700,125,5,2,1,3.5
1200,50,2,3,0,3.2
1000,,1,3,1,2.1
1650,60,2,3,1,3.1
840,45,1,3,0,1.6
850,41,2,6,1,3.8
700,30,1,4,1,2.1
1200,74,2,1,1,4.4
1250,50,1,2,1,3.1
1200,75,1,2,1,1.9
1100,64,2,2,0,2.6
950,65,1,6,0,2.0
1250,65,1,3,1,3.4
850,50,1,3,1,1.9
1250,73,2,7,0,3.0
1250,41,1,1,0,2.1
1000,50,2,2,0,3.0
750,42,1,2,0,3.1
1300,84,2,3,0,2.4
1200,65,1,3,1,1.9
1350,82,3,4,1,2.4
1400,75,2,2,0,2.2
1300,100,2,0,0,2.4
1200,40,0,2,1,1.8
1350,85,3,4,1,2.4
